round,book_hash_before,book_hash_after,mean_train_before,mean_train_after,mean_heldout_before,mean_heldout_after,mean_J_before,mean_J_after,num_kept,num_discarded,total_tokens_before,total_tokens_after,elapsed_seconds,notes
1,7527c5c39ef66c0fe5435b3186101571196653269bb8748d952f1258399650e2,d0c57cf9fb5b08070bd78a7936ae8587916aa36a0326ee83507b13b8e20db984,0.325,0.625,0.1575,0.14625,1.1125,1.35625,7,3,796,1378,4328.629329919815,
2,d0c57cf9fb5b08070bd78a7936ae8587916aa36a0326ee83507b13b8e20db984,a4a966e029bc0826c9a3b4b0412dfa0daed45a8a681a45a35d5bf4aa64d5144c,0.625,0.6125,0.14625,0.15,1.35625,1.3625,1,9,1378,1382,4062.2126841545105,
3,a4a966e029bc0826c9a3b4b0412dfa0daed45a8a681a45a35d5bf4aa64d5144c,26a80824a9743529ff715d0ae8f7f8ed68339fc9d250345e537438c81549fb24,0.6125,0.65,0.15,0.15125,1.3625,1.40625,3,7,1382,1438,3835.2899594306946,
4,26a80824a9743529ff715d0ae8f7f8ed68339fc9d250345e537438c81549fb24,c969b2d3faac98a1c697962b5788533699c290678445852213aa48c861ea53c7,0.65,0.6,0.15125,0.17,1.40625,1.45,2,8,1438,1526,4797.542455911636,
5,c969b2d3faac98a1c697962b5788533699c290678445852213aa48c861ea53c7,10979cbf508db70e257afd9f78dee65feee597539e11815ffa931af2e839beb1,0.6,0.5875,0.17,0.175,1.45,1.4625,2,8,1526,1570,4421.260197401047,
6,10979cbf508db70e257afd9f78dee65feee597539e11815ffa931af2e839beb1,1358516ce8afd3f222364550290b13d90f6380cbdb9ea215012983839ca641f4,0.5875,0.5875,0.175,0.17625000000000002,1.4625,1.46875,1,9,1570,1566,4418.95449757576,
7,1358516ce8afd3f222364550290b13d90f6380cbdb9ea215012983839ca641f4,d761f06038aa7e713fe9b2dac97ed848e2a4a8f564f72e2d8aa39224db36770a,0.5875,0.6125,0.17625000000000002,0.17625,1.46875,1.49375,4,6,1566,1565,4156.465983867645,
8,d761f06038aa7e713fe9b2dac97ed848e2a4a8f564f72e2d8aa39224db36770a,d084530373d8f79860471777d85e6c1e381f30a0cbb376b025eb3f7f354af164,0.6125,0.6875,0.17625,0.1675,1.49375,1.525,4,6,1565,1687,4738.997382640839,
9,d084530373d8f79860471777d85e6c1e381f30a0cbb376b025eb3f7f354af164,46a08735227eb02c031f4ec85c41c1c1524355d58eb2f1d3560d7b27ec9ce28a,0.6875,0.6625,0.1675,0.17375,1.525,1.53125,1,9,1687,1729,4760.744421958923,
10,46a08735227eb02c031f4ec85c41c1c1524355d58eb2f1d3560d7b27ec9ce28a,0b5e7cf86e71e1357166db5255ed9c494f112171be75719879c9ad69a88a264d,0.6625,0.6875,0.17375,0.17125,1.53125,1.54375,2,8,1729,1745,4652.410640478134,
11,0b5e7cf86e71e1357166db5255ed9c494f112171be75719879c9ad69a88a264d,c98db19e40459bb6323de703dfd2e09b720dfdb16db92d618ef33304185076fa,0.6875,0.6875,0.17125,0.17500000000000002,1.54375,1.5625,2,8,1745,1778,6567.246081113815,
12,c98db19e40459bb6323de703dfd2e09b720dfdb16db92d618ef33304185076fa,d3674a8dde1d215ea2be51b23ecb1333e983fc34dd8477f86e20e58986a95fc3,0.6875,0.7125,0.17500000000000002,0.18,1.5625,1.6125,2,8,1778,1788,5402.460002660751,
13,d3674a8dde1d215ea2be51b23ecb1333e983fc34dd8477f86e20e58986a95fc3,c80208f6719125bb56697d939fcfdda9d51ebdcae4a2d1028d34026d92c33445,0.7125,0.7375,0.18,0.1825,1.6125,1.65,3,7,1788,1875,4504.223112821579,
14,c80208f6719125bb56697d939fcfdda9d51ebdcae4a2d1028d34026d92c33445,0c09ad02d160e62baa6463736ba0b46c506f0fd0515330bdc8d38e9435bcbc62,0.7375,0.725,0.1825,0.18625,1.65,1.65625,2,8,1875,1881,4929.879675865173,
15,0c09ad02d160e62baa6463736ba0b46c506f0fd0515330bdc8d38e9435bcbc62,0c09ad02d160e62baa6463736ba0b46c506f0fd0515330bdc8d38e9435bcbc62,0.725,0.725,0.18625,0.18625,1.65625,1.65625,0,10,1881,1881,4497.796826124191,
16,0c09ad02d160e62baa6463736ba0b46c506f0fd0515330bdc8d38e9435bcbc62,81e54eb0104f9c89a2ee8d6dfcaf2a0b28f3aaf3da53148590cb27e058116cda,0.725,0.7375,0.18625,0.18625,1.65625,1.66875,1,9,1881,1880,4385.2321655750275,
17,81e54eb0104f9c89a2ee8d6dfcaf2a0b28f3aaf3da53148590cb27e058116cda,3609e57ab6f9a536f57b134cf65b8477e8117931d099da4400c2aeacd97713d8,0.7375,0.7375,0.18625,0.18875,1.66875,1.68125,2,8,1880,1879,4498.087305545807,
18,3609e57ab6f9a536f57b134cf65b8477e8117931d099da4400c2aeacd97713d8,3609e57ab6f9a536f57b134cf65b8477e8117931d099da4400c2aeacd97713d8,0.7375,0.7375,0.18875,0.18875,1.68125,1.68125,0,10,1879,1879,5132.47708773613,
